ParticipantNo,Item,Response
0,I felt like I was actually there in the environment of the presentation.,5
0,It seemed to me that I could do whatever I wanted in the environment of the presentation.,5
0,I had the impression that I could be active in the environment of the presentation.,5
0,It seemed as though I actually took part in the action of the presentation.,4
0,It was as though my true location had shifted into the environment in the presentation.,5
0,I felt like I could move around among the objects in the presentation.,4
0,The objects in the presentation gave me the feeling that I could do things with them.,5
0,I felt as though I was physically present in the environment of the presentation.,4
ParticipantID,Item,Response
P0,It seemed as though I actually took part in the action of the presentation.,5
P0,I felt like I could move around among the objects in the presentation.,3
P0,It seemed to me that I could do whatever I wanted in the environment of the presentation.,2
P0,I felt as though I was physically present in the environment of the presentation.,1
P0,I felt like I was actually there in the environment of the presentation.,4
P0,I had the impression that I could be active in the environment of the presentation.,5
P0,It was as though my true location had shifted into the environment in the presentation.,3
P0,The objects in the presentation gave me the feeling that I could do things with them.,2
